State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,Outlier_Score,Local_Moran_Significant,Getis_Ord_Significant,Isolation_Forest_Outlier
Osun,EDE SOUTH,BABASANYA,29-08-07-003,"MOSA/ONIDODO, EDE",0,0,0,0,7.7316888,4.4358752,3,True,True,True
Osun,EDE SOUTH,ALAJUE II,29-08-05-001,ORISUMBARE VILLAGE,0,0,0,0,7.6994918,4.5088227,3,True,True,True
Osun,IREWOLE,IKIRE 'K',29-21-11-001,"IREWOLE MATERNITY, EBUNLA VILLAGE",0,0,0,0,7.3490473,4.177655,3,True,True,True
Osun,IFE EAST,MODAKEKE  III,29-13-10-001,"OGUNSUA GRAM. SCHOOL, ESUYARE",292,137,43,0,7.4813767,4.5244155,3,True,True,True
Osun,IREWOLE,IKIRE 'C',29-21-03-008,"ASIYIN POPO OPEN SPACE, POPO, IKIRE",165,107,5,0,7.4554943,4.2692327,2,True,True,False
Osun,OLA-OLUWA,OGBAAGBA  I,29-26-03-001,"ST. JAMES PRY. SCHOOL, OGBAAGBA I",61,188,3,0,7.7016673,4.251281,2,True,True,False
Osun,OLORUNDA,OWODE  II,29-27-07-003,"ST. JAMES SCHOOL, C",117,108,5,0,7.8582665,4.5727598,2,True,True,False
Osun,IREWOLE,IKIRE 'F',29-21-06-007,"BAPTIST DAY SCHOOL, SANGO, IKIRE I",203,171,6,0,7.6046156,4.1866576,2,True,True,True
Osun,IREWOLE,IKIRE 'J',29-21-10-004,"WASINMI MARKET, WASINMI VILLAGE",147,95,0,0,7.4359887,4.2634618,2,True,True,False
Osun,OLA-OLUWA,ASA AJAGUNLASE,29-26-10-008,"COMM. PRY. SCHOOL, OGUNJA",127,78,0,0,7.818697,4.2025859,2,True,True,False
Osun,OLA-OLUWA,BODE-OSI,29-26-08-004,"ANGLICAN PRY. SCHOOL, ELEPO",0,0,0,0,7.769237,4.270083,2,True,False,True
Osun,EDE SOUTH,BABANLA/AGATE,29-08-01-004,ALUKAGUN COMP. EDE,90,245,6,0,7.7220018,4.4353065,2,True,True,True
Osun,EDE SOUTH,KUYE,29-08-02-002,"KUYE'S COMPOUND, EDE",126,233,0,0,7.7304127,4.4377033,2,True,True,True
