State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Full_Location,Latitude,Longitude,Latitude_rad,Longitude_rad,Cluster_500m,Cluster_1000m,Cluster_2000m
OSUN,ILA,EJIGBO  I,29-17-01-016,GAA FULANI,305,576,True,-1,False,True,False,False,UNKNOWN,71,8,213,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/01/pu/016/016-1677365508.pdf,"GAA FULANI, EJIGBO  I, ILA, OSUN, Nigeria",8.0290542,4.8416936,0.14013343161107927,0.08450349469273732,-1,-1,-1
OSUN,ILA,EJIGBO  II,29-17-02-002,COOPERATIVE STORE I,250,549,True,-1,False,False,False,False,UNKNOWN,100,7,140,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/02/pu/002/002-1677388353.pdf,"COOPERATIVE STORE I, EJIGBO  II, ILA, OSUN, Nigeria",8.014422,4.9029895,0.139878051544269,0.08557330996571053,54,54,50
OSUN,ILA,EJIGBO  II,29-17-02-003,COOPERATIVE STORE II,178,300,True,-1,False,False,False,False,UNKNOWN,65,1,110,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/02/pu/003/003-1677365813.pdf,"COOPERATIVE STORE II, EJIGBO  II, ILA, OSUN, Nigeria",8.014422,4.9029895,0.139878051544269,0.08557330996571053,54,54,50
OSUN,ILA,EJIGBO  II,29-17-02-004,OLOOTU,174,351,True,-1,False,False,False,False,UNKNOWN,97,1,173,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/02/pu/004/004-1677368075.pdf,"OLOOTU, EJIGBO  II, ILA, OSUN, Nigeria",8.015401,4.9045911,0.13989513831764602,0.08560126315901047,54,54,50
OSUN,ILA,EJIGBO  II,29-17-02-005,DISPENSARY,183,334,True,-1,True,False,False,False,UNKNOWN,98,5,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/02/pu/005/005-1677367578.pdf,"DISPENSARY, EJIGBO  II, ILA, OSUN, Nigeria",8.015401,4.9045911,0.13989513831764602,0.08560126315901047,54,54,50
OSUN,ILA,EJIGBO  II,29-17-02-006,OJUDE OBAJOKO,207,387,True,-1,False,False,False,False,UNKNOWN,118,1,78,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/02/pu/006/006-1677368417.pdf,"OJUDE OBAJOKO, EJIGBO  II, ILA, OSUN, Nigeria",8.015401,4.9045911,0.13989513831764602,0.08560126315901047,54,54,50
OSUN,ILA,EJIGBO  II,29-17-02-008,AWUGBO,263,470,True,-1,False,False,False,False,UNKNOWN,91,2,167,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/02/pu/008/008-1677364937.pdf,"AWUGBO, EJIGBO  II, ILA, OSUN, Nigeria",8.015401,4.9045911,0.13989513831764602,0.08560126315901047,54,54,50
OSUN,ILA,EJIGBO  II,29-17-02-009,AJIONI,191,370,True,-1,False,False,False,False,UNKNOWN,123,0,66,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/02/pu/009/009-1677365274.pdf,"AJIONI, EJIGBO  II, ILA, OSUN, Nigeria",8.015401,4.9045911,0.13989513831764602,0.08560126315901047,54,54,50
OSUN,ILA,EJIGBO  III,29-17-03-001,ADEKUNLE JUNCTION,241,377,True,-1,False,False,False,False,UNKNOWN,115,1,123,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97413/result_39730_1677522144_thumb.jpg,"ADEKUNLE JUNCTION, EJIGBO  III, ILA, OSUN, Nigeria",8.0015687,4.8676221,0.1396537191395224,0.08495603238784068,65,63,61
OSUN,ILA,EJIGBO  III,29-17-03-003,AJABA JUNCTION,395,774,True,-1,False,False,False,False,UNKNOWN,151,6,228,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/97415/result_39732_1677522517_thumb.jpg,"AJABA JUNCTION, EJIGBO  III, ILA, OSUN, Nigeria",8.0015687,4.8676221,0.1396537191395224,0.08495603238784068,65,63,61
