State,LGA,Ward,PU-Code,PU-Name,APC,PDP,LP,NNPP,Latitude,Longitude,APC_Outlier_Score,PDP_Outlier_Score,LP_Outlier_Score,NNPP_Outlier_Score,Max_Outlier_Score
Osun,OLORUNDA,BALOGUN,29-27-02-002,"2, BISHOP STREET",165,80,18,2,7.7774903,4.5562314,0,0,0,3,3
Osun,OLA-OLUWA,OBAMORO/ILE OGO,29-26-07-002,"D.C. PRY. SCHOOL, ILE-OGO II",0,0,0,0,7.7770005,4.2023095,0,3,0,1,3
Osun,OLA-OLUWA,ISERO/IKONIFIN,29-26-06-006,ABASADE,117,109,12,3,7.7977995,4.1206748,0,1,0,3,3
Osun,OLA-OLUWA,OGBAAGBA  II,29-26-04-002,"COMM. GRAMMAR SCHOOL, OGBAAGBA II",173,160,1,2,7.715161,4.256687,0,0,2,3,3
Osun,ILESA WEST,ILAJE,29-19-07-010,IMADIN AREA NEAR AKINNIYI'S  HOUSE,122,119,16,2,7.6446658,4.7337698,0,0,0,3,3
Osun,ILESA WEST,EREJA,29-19-09-007,TOWN PLANNING AREA,46,47,20,1,7.6255599,4.7400419,0,1,1,3,3
Osun,IREPODUN,OLOBU 'B',29-20-02-001,"OPEN SPACE HEALTH CENTRE, OJUTU",166,189,11,0,7.831385,4.50227,3,1,1,1,3
Osun,IREPODUN,BARA 'B',29-20-06-003,AJIBIKE COMPOUND,174,190,5,10,7.9021368,4.5315029,0,1,1,3,3
Osun,IREPODUN,BARA 'B',29-20-06-008,BABA ODUNAYO,0,0,0,0,7.9021368,4.5315029,1,3,1,1,3
Osun,IREWOLE,IKIRE 'H',29-21-08-007,"ISLAMIHAL PRY. SCHOOL, OGUNYEMI AREA",197,174,13,1,7.4778676,4.1872178,2,1,1,3,3
Osun,IREWOLE,IKIRE 'K',29-21-11-001,"IREWOLE MATERNITY, EBUNLA VILLAGE",0,0,0,0,7.3490473,4.177655,3,3,1,1,3
Osun,IREWOLE,IKIRE 'K',29-21-11-015,"BAMIDELE VILLAGE OPEN SPACE, BAMIDELE VILLAGE",92,71,0,1,7.3852243,4.2846246,0,1,1,3,3
Osun,ISOKAN,ALAPOMU  I (ODO-OSUN),29-22-06-002,ST. BARNABAS PRY. SCHOOL,201,148,6,1,7.3241893,4.1846569,1,0,1,3,3
Osun,IWO,ISALE OBA  III,29-23-03-005,STATE HOSPITAL FIRST GATE,93,176,52,0,7.6401303,4.1769749,1,2,3,1,3
Osun,IWO,OKE-ADAN  III,29-23-10-009,TOWN PLANNING AREA,132,58,10,1,7.6616821,4.1872178,0,0,0,3,3
Osun,OBOKUN,EESUN/IDOOKO,29-24-05-005,IDO-OKO GRAMMAR SCHOOL,102,118,5,2,7.7158145,4.7428915,0,1,0,3,3
Osun,OBOKUN,ESA - ODO,29-24-09-002,ESA-ODO MARKET SQUARE,0,0,0,0,7.7427987,4.819745,1,3,1,1,3
Osun,ODO-OTIN,BAALE,29-25-02-008,"OPPOSITE GUSTUS PRINTERS, OKUKU I",33,18,6,1,8.0078948,4.672163,1,0,0,3,3
Osun,ODO-OTIN,OLUKOTUN,29-25-11-006,"OLOWURU COMPOUND, INISA",111,106,0,4,7.9802892,4.6495554,0,0,0,3,3
Osun,EDE NORTH,OLABA/ATAPARA,29-07-01-006,BATETU COMP.,94,103,3,2,7.7411095,4.4355737,0,0,0,3,3
Osun,OSOGBO,BABA KEKERE,29-30-14-020,"OPEN SPACE, BOOSERE STREET JUNCTION, AROGUNMASA AREA, OSOGBO",25,44,5,1,7.7660253,4.5779191,0,1,0,3,3
Osun,ATAKUMOSA EAST,AJEBANDELE,29-01-10-007,L.A. PRY SCHOOL ATORIN,2,122,30,0,7.4771604,4.7898731,0,0,3,1,3
Osun,ATAKUMOSA EAST,FAFORIJI,29-01-09-005,"SURAJU PRY. SCHOOL, ERINSEBIJA",4,103,0,1,7.3162559,4.7174062,2,0,1,3,3
Osun,AYEDAADE,OBALUFON,29-03-09-006,"FOWOSERE, FOWOSERE VILLAGE",46,32,25,1,7.138339,4.2128337,0,0,1,3,3
Osun,ATAKUMOSA EAST,FOREST RESERVE  1,29-01-07-006,SOKOTO S.B OJO,155,102,3,0,7.4771604,4.7898731,3,0,0,1,3
