State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Full_Location,Latitude,Longitude
OSUN,ATAKUMOSA EAST,FAFORIJI,29-01-09-008,EHIN-OKE,77,208,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,5,0,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/09/pu/008/008-1677361607.pdf,"EHIN-OKE, FAFORIJI, ATAKUMOSA EAST, OSUN, Nigeria",7.3162559,4.7174062
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-002,"ST. JOHN'S PRY SCHOOL, ERINBURO",173,602,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,6,2,165,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/002/002-1677367698.pdf,"ST. JOHN'S PRY SCHOOL, ERINBURO, AJEBANDELE, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-003,L.A. PRY SCHOOL AYINRIN ADEDEJI I,140,552,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,13,0,127,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/003/003-1677367809.pdf,"L.A. PRY SCHOOL AYINRIN ADEDEJI I, AJEBANDELE, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-004,OPEN SPACE OLOWORU OWODE,75,315,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,0,65,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/004/004-1677370032.pdf,"OPEN SPACE OLOWORU OWODE, AJEBANDELE, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-005,"EMMAN. PRY. SCHOOL, LAPAEDE",167,550,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,1,162,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/005/005-1677365171.pdf,"EMMAN. PRY. SCHOOL, LAPAEDE, AJEBANDELE, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA EAST,AJEBANDELE,29-01-10-007,L.A. PRY SCHOOL ATORIN,154,464,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,30,122,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3704/ward/24398/pu/97100/97100-1677525851.pdf,"L.A. PRY SCHOOL ATORIN, AJEBANDELE, ATAKUMOSA EAST, OSUN, Nigeria",7.4771604,4.7898731
OSUN,ATAKUMOSA WEST,OSU I,29-02-01-001,"METHODIST PRIMARY SCHOOL, OKE OJA - OSU",339,956,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,121,9,204,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/001/001-1677378598.pdf,"METHODIST PRIMARY SCHOOL, OKE OJA - OSU, OSU I, ATAKUMOSA WEST, OSUN, Nigeria",7.563893,4.654049
OSUN,ATAKUMOSA WEST,OSU I,29-02-01-004,"ATAKUNMOSA HIGH SCHOOL, OSU",315,997,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,125,33,147,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/01/pu/004/004-1677381362.pdf,"ATAKUNMOSA HIGH SCHOOL, OSU, OSU I, ATAKUMOSA WEST, OSUN, Nigeria",7.5855682,4.6256661
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-001,"APOSTOLIC PRY SCHOOL, IWARO",176,539,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,94,0,72,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/001/001-1677388206.pdf,"APOSTOLIC PRY SCHOOL, IWARO, OSU II, ATAKUMOSA WEST, OSUN, Nigeria",7.3993236,4.7366953
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-002,"PRY SCHOOL, ILOBA",179,520,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,59,0,107,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3705/ward/24400/pu/97106/97106-1677751123.pdf,"PRY SCHOOL, ILOBA, OSU II, ATAKUMOSA WEST, OSUN, Nigeria",7.6233413,4.608482
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-004,"PRY SCHOOL, ALAKOWE",115,356,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,59,3,45,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/004/004-1677385077.pdf,"PRY SCHOOL, ALAKOWE, OSU II, ATAKUMOSA WEST, OSUN, Nigeria",7.6196985,4.5934
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-006,ODESOMI VILLAGE,134,304,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,79,0,54,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/006/006-1677385690.pdf,"ODESOMI VILLAGE, OSU II, ATAKUMOSA WEST, OSUN, Nigeria",7.6196985,4.5934
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-008,"R.C.M. PRY. SCHOOL, KAJOLA",78,190,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,68,0,67,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/008/008-1677383752.pdf,"R.C.M. PRY. SCHOOL, KAJOLA, OSU II, ATAKUMOSA WEST, OSUN, Nigeria",7.6196985,4.5934
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-009,"COMM. PRY. SCHOOL, ASAOBI",134,278,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,20,0,112,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/009/009-1677386794.pdf,"COMM. PRY. SCHOOL, ASAOBI, OSU II, ATAKUMOSA WEST, OSUN, Nigeria",7.6196985,4.5934
OSUN,ATAKUMOSA WEST,OSU II,29-02-02-010,BALOGUN VILLAGE,119,312,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,75,2,37,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/02/pu/010/010-1677386339.pdf,"BALOGUN VILLAGE, OSU II, ATAKUMOSA WEST, OSUN, Nigeria",7.6196985,4.5934
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-001,"METHODIST PRY. SCHOOL, OKEOMI, OSU",296,836,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,122,18,150,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/001/001-1677383555.pdf,"METHODIST PRY. SCHOOL, OKEOMI, OSU, OSU  III, ATAKUMOSA WEST, OSUN, Nigeria",7.563893,4.654049
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-002,"METHODIST PRY. SCHOOL, OSU",180,624,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,69,66,105,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/002/002-1677381368.pdf,"METHODIST PRY. SCHOOL, OSU, OSU  III, ATAKUMOSA WEST, OSUN, Nigeria",7.563893,4.654049
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-003,"L.A. PRY. SCHOOL, ILOWO ST. OSU",299,857,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,129,14,141,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/003/003-1677381634.pdf,"L.A. PRY. SCHOOL, ILOWO ST. OSU, OSU  III, ATAKUMOSA WEST, OSUN, Nigeria",7.446713,4.687328
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-004,"PRY. SCHOOL, ITAMERIN",138,506,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,31,3,89,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/004/004-1677382478.pdf,"PRY. SCHOOL, ITAMERIN, OSU  III, ATAKUMOSA WEST, OSUN, Nigeria",7.5708836,4.6088854
OSUN,ATAKUMOSA WEST,OSU  III,29-02-03-005,"COMM. GRAMMAR SCHOOL, AJIDO, OSU",284,776,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,102,9,172,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/03/pu/005/005-1677382840.pdf,"COMM. GRAMMAR SCHOOL, AJIDO, OSU, OSU  III, ATAKUMOSA WEST, OSUN, Nigeria",7.5855682,4.6256661
OSUN,ATAKUMOSA WEST,IBODI,29-02-04-003,IGILA VILLAGE,100,256,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,28,2,69,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/003/003-1677382713.pdf,"IGILA VILLAGE, IBODI, ATAKUMOSA WEST, OSUN, Nigeria",7.5817,4.6631
OSUN,ATAKUMOSA WEST,IBODI,29-02-04-004,IYERE VILLAGE,209,482,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,62,6,140,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/04/pu/004/004-1677382940.pdf,"IYERE VILLAGE, IBODI, ATAKUMOSA WEST, OSUN, Nigeria",7.5628658,4.6536981
